"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.07.2026","12,620","12,800","12,800","12,610","10,30K","-1,25%"
"17.07.2026","12,780","12,650","12,880","12,580","6,13K","-0,93%"
"16.07.2026","12,900","12,900","13,000","12,800","11,42K","3,04%"
"15.07.2026","12,520","12,380","13,000","12,380","13,63K","0,32%"
"14.07.2026","12,480","12,370","12,600","12,370","5,64K","1,88%"
"13.07.2026","12,250","12,340","12,340","12,200","27,17K","1,91%"
"10.07.2026","12,020","12,000","12,250","12,000","33,01K","0,25%"
"09.07.2026","11,990","12,100","12,100","11,910","9,81K","-0,25%"
"08.07.2026","12,020","12,100","12,100","12,000","11,94K","-0,08%"
"07.07.2026","12,030","12,100","12,100","12,000","19,76K","-0,17%"
"06.07.2026","12,050","12,000","12,100","11,980","16,16K","-1,23%"
"03.07.2026","12,200","12,150","12,200","12,150","3,97K","0,66%"
"02.07.2026","12,120","11,950","12,200","11,950","16,46K","-0,08%"
"01.07.2026","12,130","12,200","12,200","12,000","5,92K","0,25%"
"30.06.2026","12,100","11,950","12,100","11,900","4,89K","0,83%"
"26.06.2026","12,000","11,990","12,000","11,990","2,63K","0,59%"
"25.06.2026","11,930","11,940","11,940","11,900","5,93K","-0,50%"
"24.06.2026","11,990","11,950","12,000","11,950","30,94K","0,50%"
"23.06.2026","11,930","11,900","11,950","11,900","4,66K","-0,17%"
"22.06.2026","11,950","11,950","11,950","11,950","3,29K","0,84%"
"19.06.2026","11,850","11,850","11,850","11,850","1,92K","-0,25%"
"18.06.2026","11,880","11,900","11,900","11,850","15,22K","-0,08%"
"17.06.2026","11,890","11,800","11,950","11,800","18,69K","0,17%"
"16.06.2026","11,870","11,900","11,900","11,800","29,58K","0,17%"
"15.06.2026","11,850","11,690","11,950","11,690","32,21K","1,46%"
"12.06.2026","11,680","11,650","11,700","11,650","9,15K","0,34%"
"11.06.2026","11,640","11,800","11,800","11,600","13,12K","0,17%"
"10.06.2026","11,620","11,640","11,700","11,500","24,62K","1,40%"
"09.06.2026","11,460","11,960","11,960","11,400","30,68K","2,32%"
"08.06.2026","11,200","11,290","11,290","11,200","87,71K","-0,88%"
"05.06.2026","11,300","11,400","11,400","11,200","305,77K","0,00%"
"04.06.2026","11,300","11,300","11,300","11,100","107,19K","0,27%"
"03.06.2026","11,270","11,400","11,490","11,200","54,91K","-2,00%"
"02.06.2026","11,500","11,510","11,510","11,300","53,76K","0,00%"
"01.06.2026","11,500","11,350","11,540","11,350","81,95K","0,70%"
"29.05.2026","11,420","11,400","11,540","11,400","254,31K","0,62%"
"28.05.2026","11,350","11,550","11,550","11,350","10,60K","-0,09%"
"27.05.2026","11,360","11,360","11,360","11,360","3,70K","-0,09%"
"26.05.2026","11,370","11,370","11,370","11,370","3,01K","-1,56%"
"25.05.2026","11,550","11,300","11,600","11,300","7,57K","0,00%"
"22.05.2026","11,550","11,300","11,550","11,300","5,41K","0,87%"
"21.05.2026","11,450","11,600","11,600","11,450","39,51K","-0,43%"
"20.05.2026","11,500","11,250","11,600","11,250","604,22K","0,00%"
"19.05.2026","11,500","11,120","11,500","11,120","10,87K","0,44%"
"18.05.2026","11,450","11,150","11,450","11,100","83,99K","2,97%"
"15.05.2026","11,120","11,150","11,150","11,000","26,77K","0,18%"
"14.05.2026","11,100","11,500","11,500","11,050","7,65K","0,82%"
"13.05.2026","11,010","11,150","11,150","10,950","22,75K","-1,26%"
"12.05.2026","11,150","11,150","11,150","11,150","2,00K","0,36%"
"11.05.2026","11,110","11,000","11,400","11,000","8,26K","-1,51%"
"08.05.2026","11,280","11,350","11,350","11,280","3,67K","-0,18%"
"07.05.2026","11,300","11,350","11,350","11,290","113,34K","-0,44%"
"06.05.2026","11,350","11,150","11,350","11,150","15,19K","1,25%"
"05.05.2026","11,210","11,200","11,320","11,200","28,80K","0,63%"
"04.05.2026","11,140","11,100","11,500","11,100","13,07K","-3,13%"
